Data,Umidita R.,Batteria,Temperatura
2016-01-03 12:51:12,"5,8","9,2","57,7"
2016-01-03 13:21:12,"5,8","9,2","57,1"
2016-01-03 13:51:12,"5,8","9,2","57,7"
2016-01-03 14:21:12,"5,8","9,2","57,1"
2016-01-03 14:51:12,"5,8","9,2","57,7"
2016-01-03 15:21:12,"5,8","9,2","57,1"
2016-01-03 15:51:12,"5,8","9,2","57,1"
2016-01-03 16:21:12,"5,8","9,1","57,7"
2016-01-03 16:51:12,"5,8","9,2","58,1"
2016-01-03 17:21:12,"5,8","9,2","57,1"
2016-01-03 17:51:12,"5,8","9,2","57,7"
2016-01-03 18:21:12,"5,8","9,1","57,7"
2016-01-03 18:51:12,"5,8","9,2","58,1"
2016-01-03 19:21:12,"5,8","9,2","57,1"
2016-01-03 19:51:12,"5,8","9,1","57,1"
2016-01-03 20:21:12,"5,8","9,1","57,7"
2016-01-03 20:51:12,"5,8",9,"57,7"
2016-01-03 21:21:12,"5,8",9,"57,7"
2016-01-03 21:51:12,"5,8","8,9","57,7"
2016-01-03 22:21:12,"5,9","8,9","57,7"
2016-01-03 22:51:12,"5,9","8,9","57,7"
2016-01-03 23:21:12,"5,9","8,8","57,7"
2016-01-03 23:51:12,"5,9","8,8","57,7"
2016-01-04 00:21:12,"5,9","8,8","57,7"
2016-01-04 00:51:12,"5,9","8,8","57,1"
2016-01-04 01:21:12,"5,9","8,8","57,1"
2016-01-04 01:51:12,"5,9","8,8","57,1"
2016-01-04 02:21:12,"5,9","8,8","57,1"
2016-01-04 02:51:12,"5,9","8,8","57,1"
2016-01-04 03:21:12,"5,9","8,7","57,1"
2016-01-04 03:51:12,"5,9","8,7","57,1"
2016-01-04 04:21:12,"5,9","8,7","57,1"
2016-01-04 04:51:12,"5,9","8,7","57,1"
2016-01-04 05:21:12,"5,9","8,7","57,1"
2016-01-04 05:51:12,"5,9","8,6","57,1"
2016-01-04 06:21:12,"5,9","8,6",57
2016-01-04 06:51:12,"5,9","8,6",57
2016-01-04 07:21:12,"5,9","8,6",57
2016-01-04 07:51:12,"5,9","8,6",57
2016-01-04 08:21:12,"5,9","8,6",57
2016-01-04 08:51:12,"5,9","8,6",57
2016-01-04 09:21:12,"5,9","8,6",57
2016-01-04 09:51:12,"5,9","8,6",57
2016-01-04 10:21:12,"5,9","8,6",57
2016-01-04 10:51:12,"5,9","8,6","57,6"
2016-01-04 11:21:12,"5,9","8,7","57,6"
2016-01-04 11:51:12,"5,9","8,7","57,6"
2016-01-04 12:21:12,"5,9","8,6","57,6"
