Data,Umidita R.,Batteria,Temperatura
2016-01-01 00:52:36,"5,9","9,8","55,9"
2016-01-01 01:22:36,"5,9","9,8","55,9"
2016-01-01 01:52:36,"5,9","9,8","55,9"
2016-01-01 02:22:36,"5,9","9,8","55,9"
2016-01-01 02:52:36,"5,9","9,8","55,9"
2016-01-01 03:22:36,"5,9","9,7","55,4"
2016-01-01 03:52:36,"5,9","9,7","55,4"
2016-01-01 04:22:36,"5,9","9,7","55,4"
2016-01-01 04:52:36,"5,9","9,7","55,4"
2016-01-01 05:22:36,"5,9","9,7","55,4"
2016-01-01 05:52:36,"5,9","9,6","55,4"
2016-01-01 06:22:36,"5,9","9,7","55,4"
2016-01-01 06:52:36,"5,9","9,6","55,4"
2016-01-01 07:22:36,"5,9","9,6","55,4"
2016-01-01 07:52:36,"5,9","9,6","55,4"
2016-01-01 08:22:36,"5,9","9,6","55,4"
2016-01-01 08:52:36,"5,9","9,6","54,9"
2016-01-01 09:22:36,"5,9","9,6","54,9"
2016-01-01 09:52:36,"5,9","9,6","54,9"
2016-01-01 10:22:36,"5,9","9,6","54,9"
2016-01-01 10:52:36,"5,9","9,6","54,4"
2016-01-01 11:22:36,"5,9","9,6","56,8"
2016-01-01 11:52:36,"5,9","9,5","55,4"
2016-01-01 12:22:36,"5,9","9,6","55,4"
2016-01-01 12:52:36,"5,9","9,6","55,4"
2016-01-01 13:22:36,"5,9","9,6","55,4"
2016-01-01 13:52:36,"5,9","9,6","55,4"
2016-01-01 14:22:36,"5,9","9,6","55,4"
2016-01-01 14:52:36,"5,9","9,6","55,4"
2016-01-01 15:22:36,"5,9","9,6","55,9"
2016-01-01 15:52:36,"5,9","9,6","55,9"
2016-01-01 16:22:36,"5,9","9,6","55,9"
2016-01-01 16:52:36,"5,9","9,6","56,2"
2016-01-01 17:22:36,"5,9","9,7","56,2"
2016-01-01 17:52:36,"5,9","9,7","56,3"
2016-01-01 18:22:36,"5,9","9,6","56,3"
2016-01-01 18:52:36,"5,9","9,6","56,2"
2016-01-01 19:22:36,"5,9","9,6","56,8"
2016-01-01 19:52:36,"5,9","9,6","56,2"
2016-01-01 20:22:36,"5,9","9,6","56,2"
2016-01-01 20:52:36,"5,9","9,6","56,2"
2016-01-01 21:22:36,"5,9","9,6","56,2"
2016-01-01 21:52:36,"5,9","9,6","56,2"
2016-01-01 22:22:36,"5,9","9,6","56,2"
2016-01-01 22:52:36,"5,9","9,6","56,2"
2016-01-01 23:22:36,"5,9","9,5","56,2"
2016-01-01 23:52:36,"5,9","9,5","55,8"
2016-01-02 00:22:36,"5,9","9,5","55,8"
2016-01-02 00:52:36,"5,9","9,5","55,8"
2016-01-02 01:22:36,"5,9","9,5","55,8"
2016-01-02 01:52:36,"5,9","9,4","55,4"
2016-01-02 02:22:36,"5,9","9,5","55,3"
2016-01-02 02:52:36,"5,9","9,4","55,4"
2016-01-02 03:22:36,"5,9","9,4","55,3"
2016-01-02 03:52:36,"5,9","9,4","55,3"
2016-01-02 04:22:36,"5,9","9,4","54,9"
2016-01-02 04:52:36,"5,9","9,4","54,9"
2016-01-02 05:22:36,"5,9","9,4","54,9"
2016-01-02 05:52:36,"5,9","9,4","54,9"
2016-01-02 06:22:36,"5,9","9,4","54,9"
2016-01-02 06:52:36,"5,9","9,4","54,4"
2016-01-02 07:22:36,"5,9","9,3","54,4"
2016-01-02 07:52:36,"5,9","9,3","54,4"
2016-01-02 08:22:36,"5,9","9,3","54,4"
2016-01-02 08:52:36,"5,9","9,3","54,4"
2016-01-02 09:22:36,"5,9","9,3","54,4"
2016-01-02 09:52:36,"5,9","9,3","54,4"
2016-01-02 10:22:36,"5,9","9,3","54,4"
2016-01-02 10:52:36,"5,9","9,3","54,4"
2016-01-02 11:22:36,"5,9","9,3","54,9"
2016-01-02 11:52:36,"5,9","9,3","54,9"
2016-01-02 12:22:36,"5,9","9,3","54,9"
2016-01-02 12:52:36,"5,9","9,4","54,9"
2016-01-02 13:22:36,"5,9","9,4","54,9"
2016-01-02 13:52:36,"5,9","9,4","54,9"
2016-01-02 14:22:36,"5,9","9,4","55,3"
2016-01-02 14:52:36,"5,9","9,4","55,3"
2016-01-02 15:22:36,"5,9","9,4","55,3"
2016-01-02 15:52:36,"5,9","9,3","55,3"
2016-01-02 16:22:36,"5,9","9,3","55,3"
2016-01-02 16:52:36,"5,9","9,3","55,8"
2016-01-02 17:22:36,"5,9","9,4","55,8"
2016-01-02 17:52:36,"5,9","9,4","56,2"
2016-01-02 18:22:36,"5,9","9,4","56,2"
2016-01-02 18:52:36,"5,9","9,3","56,2"
2016-01-02 19:22:36,"5,9","9,3","56,8"
2016-01-02 19:52:36,"5,9","9,4","56,8"
2016-01-02 20:22:36,"5,9","9,4","56,8"
2016-01-02 20:52:36,"5,9","9,4","57,2"
2016-01-02 21:22:36,"5,9","9,4","57,2"
