Data,Umidita R.,Batteria,Temperatura
2017-01-01 00:53:33,"5,8","9,5","59,1"
2017-01-01 01:23:33,"5,8","9,5","58,1"
2017-01-01 01:53:33,"5,8","9,5","58,6"
2017-01-01 02:23:33,"5,8","9,5","58,6"
2017-01-01 02:53:33,"5,8","9,5","58,1"
2017-01-01 03:23:33,"5,8","9,5","59,6"
2017-01-01 03:53:33,"5,8","9,5","58,1"
2017-01-01 04:23:33,"5,8","9,4","58,6"
2017-01-01 04:53:33,"5,8","9,4","59,1"
2017-01-01 05:23:33,"5,8","9,4","59,1"
2017-01-01 05:53:33,"5,8","9,4","58,1"
2017-01-01 06:23:33,"5,8","9,4","58,6"
2017-01-01 06:53:33,"5,8","9,3","59,1"
2017-01-01 07:23:33,"5,8","9,3","59,6"
2017-01-01 07:53:33,"5,8","9,3","59,6"
2017-01-01 08:23:33,"5,8","9,3","58,1"
2017-01-01 08:53:33,"5,8","9,2","59,1"
2017-01-01 09:23:33,"5,8","9,2","60,5"
2017-01-01 09:53:33,"5,8","9,2","59,1"
2017-01-01 10:23:33,"5,8","9,2","59,1"
2017-01-01 10:53:33,"5,8","9,1","59,9"
2017-01-01 11:23:33,"5,8","9,2","60,5"
2017-01-01 11:53:33,"5,8","9,2","59,1"
2017-01-01 12:23:33,"5,8","9,2","59,9"
2017-01-01 12:53:33,"5,8","9,2","59,1"
2017-01-01 13:23:33,"5,8","9,2","59,5"
2017-01-01 13:53:33,"5,8","9,3","59,1"
2017-01-01 14:23:33,"5,8","9,3","58,6"
2017-01-01 14:53:33,"5,8","9,3","58,6"
2017-01-01 15:23:33,"5,8","9,3","58,1"
2017-01-01 15:53:33,"5,8","9,4","58,1"
2017-01-01 16:23:33,"5,8","9,4","58,1"
2017-01-01 16:53:33,"5,8","9,4","58,1"
2017-01-01 17:23:33,"5,8","9,4","58,1"
2017-01-01 17:53:33,"5,8","9,4","58,1"
2017-01-01 18:23:33,"5,8","9,4","58,1"
2017-01-01 18:53:33,"5,8","9,3","58,6"
2017-01-01 19:23:33,"5,8","9,3","58,1"
2017-01-01 19:53:33,"5,8","9,3","59,1"
2017-01-01 20:23:33,"5,8","9,3","60,5"
2017-01-01 20:53:33,"5,8","9,3","59,1"
2017-01-01 21:23:33,"5,8","9,3","59,9"
2017-01-01 21:53:33,"5,8","9,3","59,1"
2017-01-01 22:23:33,"5,8","9,3","59,6"
2017-01-01 22:53:33,"5,8","9,2","59,1"
2017-01-01 23:23:33,"5,8","9,2","59,9"
2017-01-01 23:53:33,"5,8","9,2","58,6"
2017-01-02 00:23:33,"5,8","9,2","59,1"
2017-01-02 00:53:33,"5,8","9,2","59,9"
2017-01-02 01:23:33,"5,8","9,2","58,6"
2017-01-02 01:53:33,"5,8","9,2","59,1"
2017-01-02 02:23:33,"5,8","9,2","59,5"
2017-01-02 02:53:33,"5,8","9,2","59,1"
2017-01-02 03:23:33,"5,8","9,2","59,1"
2017-01-02 03:53:33,"5,8","9,1","59,1"
2017-01-02 04:23:33,"5,8","9,1","59,9"
2017-01-02 04:53:33,"5,8","9,1","58,6"
2017-01-02 05:23:33,"5,8","9,1","58,6"
2017-01-02 05:53:33,"5,8","9,1","59,9"
2017-01-02 06:23:33,"5,8","9,1","59,9"
2017-01-02 06:53:33,"5,8","9,1","59,9"
2017-01-02 07:23:33,"5,8","9,1","59,9"
2017-01-02 07:53:33,"5,8",9,"58,6"
