Data,Umidita R.,Batteria,Temperatura
2017-01-01 00:48:50,6,"8,9",59
2017-01-01 01:18:50,6,"8,9","57,7"
2017-01-01 01:48:50,6,"8,9","58,5"
2017-01-01 02:18:50,6,"8,8","57,7"
2017-01-01 02:48:50,6,"8,8","58,5"
2017-01-01 03:18:50,6,"8,8",59
2017-01-01 03:48:50,6,"8,8",58
2017-01-01 04:18:50,6,"8,8",59
2017-01-01 04:48:50,6,"8,8","59,5"
2017-01-01 05:18:50,6,"8,8",58
2017-01-01 05:48:50,6,"8,7","58,5"
2017-01-01 06:18:50,6,"8,7",59
2017-01-01 06:48:50,6,"8,7","59,8"
2017-01-01 07:18:50,6,"8,6","59,5"
2017-01-01 07:48:50,6,"8,6",59
2017-01-01 08:18:50,6,"8,6","58,5"
2017-01-01 08:48:50,6,"8,6","59,4"
2017-01-01 09:18:50,6,"8,5","59,8"
2017-01-01 09:48:50,6,"8,5","59,4"
2017-01-01 10:18:50,6,"8,5","59,4"
2017-01-01 10:48:50,6,"8,5","60,4"
2017-01-01 11:18:50,6,"8,5","60,4"
2017-01-01 11:48:50,6,"8,5","58,9"
2017-01-01 12:18:50,6,"8,6","59,8"
2017-01-01 12:48:50,6,"8,6",59
2017-01-01 13:18:50,6,"8,6","59,8"
2017-01-01 13:48:50,6,"8,6",59
2017-01-01 14:18:50,6,"8,7","58,5"
2017-01-01 14:48:50,6,"8,7",58
2017-01-01 15:18:50,6,"8,8",58
2017-01-01 15:48:50,6,"8,8",58
2017-01-01 16:18:50,6,"8,8",58
2017-01-01 16:48:50,6,"8,8","57,7"
2017-01-01 17:18:50,6,"8,8","57,7"
2017-01-01 17:48:50,6,"8,8","57,7"
2017-01-01 18:18:50,6,"8,8","57,7"
2017-01-01 18:48:50,6,"8,8","57,7"
2017-01-01 19:18:50,6,"8,8","57,7"
2017-01-01 19:48:50,6,"8,8","58,5"
2017-01-01 20:18:50,6,"8,8",59
2017-01-01 20:48:50,6,"8,8",59
2017-01-01 21:18:50,6,"8,8",59
2017-01-01 21:48:50,6,"8,7",59
2017-01-01 22:18:50,6,"8,7",59
2017-01-01 22:48:50,6,"8,7",59
2017-01-01 23:18:50,6,"8,7","59,8"
2017-01-01 23:48:50,6,"8,6","58,5"
